Month,Special Category Visa (subclass 444)(f),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Permanent Visas - Total,Temporary Student Visas - Higher Educ.,Temporary Student Visas - Vocational Educ. & Training,Temporary Student Visas - Schools,Temporary Student Visas - Independent ELICOS(g),Temporary Student Visas - Postgraduate Research,Temporary Student Visas - Other Students,Temporary Student Visas - Total,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas,Temporary Other Visas,Temporary visas - Total,Other Visas(h),Total(i),State
Jul-2018,71190,3370,5860,7780,17000,14900,1810,3120,790,680,1850,23150,2330,118140,3790,4220,151630,470,408700,QLD
Aug-2018,66810,3180,4490,7080,14750,2750,1360,170,1160,390,530,6360,2230,121020,5160,4100,138870,150,359060,QLD
Sep-2018,65810,3450,4870,6920,15230,2510,1560,160,1220,540,510,6510,2520,96950,5820,4800,116590,880,349420,QLD
Oct-2018,68050,3430,5520,8820,17780,3620,1740,1290,1050,540,450,8680,2350,97360,5560,4300,118250,1430,381890,QLD
Nov-2018,46970,2990,4090,6350,13440,2850,1380,90,870,380,370,5930,2090,103180,4720,4160,120070,600,305560,QLD
Dec-2018,53680,3150,4540,6760,14450,3000,1270,140,480,380,490,5760,1930,142300,3020,3960,156960,390,366920,QLD
Jan-2019,57860,5840,9850,12830,28520,5770,3050,3320,1090,900,900,15030,4380,88800,4140,6550,118900,420,411220,QLD
Feb-2019,39480,3480,5000,6450,14930,20460,1890,530,1080,750,1820,26530,2150,110200,4580,4620,148080,310,313720,QLD
Mar-2019,48140,3040,4760,7110,14910,4520,1640,60,1450,440,270,8390,2010,114510,4920,4840,134670,650,322850,QLD
Apr-2019,55380,3270,5080,7860,16210,2420,1770,1220,1030,440,680,7550,2380,88680,4060,4810,107490,410,323180,QLD
May-2019,57430,3660,4840,7360,15850,2490,1720,80,870,380,440,5980,2030,83150,4880,4430,100470,330,312130,QLD
Jun-2019,56570,3380,5200,7410,16000,4030,1600,90,910,560,690,7880,1970,91540,4290,4400,110070,1610,318590,QLD
Jul-2019,70870,3760,6060,8940,18760,15970,2020,3120,870,600,1640,24230,2450,116270,3700,4320,150960,2520,410700,QLD
Aug-2019,65130,3280,4390,7380,15040,2620,1510,200,1180,450,600,6560,2360,122840,4500,3980,140230,440,357020,QLD
Sep-2019,64830,3080,5310,7830,16220,2460,1730,190,1600,460,270,6710,2080,90440,5750,4390,109360,760,345060,QLD
Oct-2019,67050,3490,5160,8910,17560,3960,1830,1180,960,470,420,8820,2200,98630,4990,5550,120200,690,382780,QLD
Nov-2019,52940,3230,4360,6900,14490,2920,1580,70,970,360,300,6190,1930,109390,4460,4940,126910,330,324850,QLD
Dec-2019,54310,2870,4800,7230,14900,3420,1160,270,590,520,460,6420,1710,147890,3150,4700,163880,410,377490,QLD
Jan-2020,58030,5600,10930,13480,30010,6750,3170,3110,1160,1020,810,16020,4360,93330,3460,6880,124050,340,428180,QLD
Feb-2020,39780,3370,5180,6340,14890,11400,2130,310,1250,640,1860,17600,1700,82370,4510,5260,111440,240,286860,QLD
Mar-2020,28230,2200,2700,4630,9520,5570,1050,90,670,280,200,7860,1060,33040,2770,2930,47670,250,187900,QLD
Apr-2020,390,150,180,170,500,0,0,0,0,0,0,0,20,370,20,80,480,10,4200,QLD
May-2020,620,170,160,140,470,0,0,0,0,0,0,0,40,140,10,150,340,0,3560,QLD
Jun-2020,870,230,280,270,780,10,0,0,0,0,0,20,30,310,10,430,800,10,5570,QLD
Jul-2020,530,110,140,180,420,10,0,0,0,0,0,10,40,200,10,330,590,10,3360,QLD
Aug-2020,300,90,90,110,290,10,0,0,0,0,0,10,60,110,0,280,460,0,2320,QLD
Sep-2020,280,100,100,140,340,20,0,0,0,0,0,20,90,180,10,310,610,0,2520,QLD
Oct-2020,340,160,160,160,480,20,0,0,0,0,0,20,160,290,20,380,860,10,3440,QLD
Nov-2020,430,150,120,190,450,20,0,0,0,10,0,30,140,300,10,490,980,10,3850,QLD
Dec-2020,780,240,240,210,690,20,0,0,0,10,0,30,190,290,10,160,670,10,4460,QLD
Jan-2021,1060,190,300,230,720,30,10,0,0,0,0,40,170,340,20,460,1030,10,5010,QLD
Feb-2021,930,230,200,180,600,20,0,0,0,0,0,30,130,280,10,570,1020,20,4440,QLD
Mar-2021,810,250,210,240,690,10,0,0,0,20,0,40,150,340,10,350,900,30,4610,QLD
Apr-2021,5030,220,210,180,620,30,0,0,0,30,10,80,100,360,20,540,1090,10,9530,QLD
May-2021,13750,400,500,430,1330,20,10,10,0,30,0,60,220,750,60,870,1950,20,24420,QLD
Jun-2021,14620,330,440,400,1160,30,10,10,0,30,0,80,160,900,90,1000,2240,490,26050,QLD
Jul-2021,8070,270,380,320,970,40,20,0,0,10,0,80,150,650,80,210,1160,10,16720,QLD
Aug-2021,1400,290,370,230,890,20,10,0,0,10,0,40,190,470,20,860,1580,250,6870,QLD
Sep-2021,160,230,260,190,680,10,0,0,0,10,0,20,220,540,0,690,1470,80,4270,QLD
Oct-2021,370,260,190,140,590,10,0,0,0,10,0,30,210,560,10,850,1640,20,4270,QLD
Nov-2021,390,390,330,270,990,30,0,0,0,30,10,70,290,650,10,580,1600,10,5380,QLD
Dec-2021,1570,600,500,530,1630,710,220,20,10,160,0,1120,330,1550,50,860,3900,30,11690,QLD
Jan-2022,2130,1050,1170,1070,3290,1810,380,100,40,180,20,2540,540,2420,200,770,6470,40,22420,QLD
Feb-2022,2860,1180,1460,1190,3830,4730,620,160,210,270,90,6080,660,7830,690,1190,16450,90,36890,QLD
Mar-2022,8530,1380,1560,1650,4590,2250,900,90,570,310,60,4180,750,17520,1310,2540,26310,150,61620,QLD
Apr-2022,20010,2020,2800,3040,7850,1030,960,320,730,270,40,3340,970,22620,1910,3030,31870,130,101610,QLD
May-2022,25320,2390,2820,3290,8500,1260,1020,30,690,270,80,3350,1200,23320,1260,3350,32480,190,115880,QLD
Jun-2022,28530,2330,2830,3760,8920,1870,1190,100,820,280,230,4490,1110,31670,1810,3950,43030,150,139770,QLD
Jul-2022,41470,2740,3990,5110,11840,6840,1100,960,640,350,1380,11260,1570,33600,1650,3910,51990,460,200790,QLD
Aug-2022,40930,3120,3370,4940,11430,2560,1360,100,1590,280,360,6250,1470,39480,2760,4800,54750,350,195850,QLD
Sep-2022,42580,2740,3230,4900,10870,1620,1600,200,1950,360,320,6050,1630,40300,3790,5770,57530,200,207290,QLD
Oct-2022,47850,2660,3360,5580,11600,1310,1430,190,1670,330,330,5260,1520,46110,3480,5170,61540,180,223230,QLD
Nov-2022,41910,2880,3280,4960,11120,1950,1530,60,1840,230,310,5910,1450,53730,4050,6050,71200,260,216610,QLD
Dec-2022,41450,2750,3290,5030,11080,2660,1330,160,1030,300,260,5750,1440,71700,2700,5020,86610,220,241260,QLD
Jan-2023,43390,4400,7000,9700,21100,4140,2390,1640,1230,490,640,10540,3020,35800,2650,7950,59960,160,288710,QLD
Feb-2023,33060,3000,4090,5320,12410,13510,1890,260,1670,480,1490,19300,1700,54070,4280,7230,86580,220,228730,QLD
Mar-2023,40910,3290,4100,5560,12950,3780,2010,50,2060,510,210,8610,1890,64390,5080,7700,87670,430,242480,QLD
Apr-2023,49690,3120,4920,7100,15140,1990,1910,520,1600,430,510,6950,1810,48520,4200,6700,68180,190,251260,QLD
May-2023,49730,3290,4160,6280,13720,2230,1640,100,1650,360,210,6190,1840,48890,4450,6690,68060,330,245790,QLD
Jun-2023,53200,3340,4180,6930,14450,3530,1960,140,1500,480,400,8000,1760,59820,4830,6450,80860,830,271770,QLD
Jul-2023,56310,3050,4800,7980,15830,13880,1880,1650,1130,560,1690,20790,2060,75170,3040,6710,107770,3470,332640,QLD
Aug-2023,55370,3400,3750,7130,14280,2770,1760,90,1510,360,250,6740,2100,79360,4910,6690,99810,390,298760,QLD
Sep-2023,63190,3410,4020,8150,15580,2290,1430,290,1760,390,380,6540,2140,63280,6030,9580,87570,690,319410,QLD
Oct-2023,59410,3390,4370,7920,15680,2150,1520,350,1070,400,390,5880,2190,67120,5480,7270,87940,160,316350,QLD
Nov-2023,52700,3250,4350,6960,14560,2450,1280,90,1090,360,270,5530,2080,73010,5230,8210,94060,510,289200,QLD
Dec-2023,53770,3300,5020,7310,15630,3190,1300,300,690,500,280,6270,1990,97880,3870,7040,117030,270,329520,QLD
Jan-2024,55270,4860,9360,12320,26530,5170,2620,2650,1030,770,750,13000,4080,53460,4580,11490,86610,250,363550,QLD
Feb-2024,39800,3680,5810,6800,16300,17970,1700,160,1140,710,1340,23020,2150,87100,5620,9090,126980,180,304780,QLD
Mar-2024,53970,3780,5180,6960,15930,3060,1430,100,1080,470,230,6360,2290,100230,6180,9100,124170,290,332220,QLD
Apr-2024,59670,3570,5890,9570,19030,2630,1610,790,780,500,520,6840,2710,61840,5360,8380,85130,260,322600,QLD
May-2024,57600,3310,4520,7070,14900,2080,1220,60,730,410,180,4680,2470,59290,5310,7680,79430,670,287780,QLD
Jun-2024,55740,3120,4870,8650,16640,2630,1320,260,750,470,470,5910,2600,71510,5480,6330,91830,670,314600,QLD
Jul-2024,70590,3420,5620,8930,17970,13680,1640,1950,490,630,1780,20170,2990,90660,4490,6980,125300,560,392150,QLD
Jan-2014,3080,1070,4310,1900,7270,1460,340,720,90,240,490,3340,1660,12210,960,1010,19190,70,69030,SA
Feb-2014,2890,1020,3230,1660,5910,5290,380,380,60,320,590,7020,720,13680,790,900,23110,60,55660,SA
Mar-2014,2760,1010,2160,1220,4390,2540,250,20,100,140,180,3220,500,13430,650,780,18590,90,50710,SA
Apr-2014,3560,830,2370,1450,4650,850,170,150,40,100,160,1480,700,10900,520,430,14040,60,52100,SA
May-2014,3310,720,2090,1510,4330,370,170,20,30,150,80,810,810,8920,520,450,11500,70,49940,SA
Jun-2014,2030,930,1940,1560,4430,820,140,10,30,130,150,1280,790,8540,370,470,11440,70,48930,SA
Jul-2014,2170,680,2230,2000,4910,2750,150,560,40,100,670,4290,820,10980,540,520,17150,70,65950,SA
Aug-2014,2570,960,2050,1490,4510,1630,130,70,140,180,270,2420,790,8800,640,520,13160,10,57640,SA
Sep-2014,2750,890,2100,1600,4590,660,120,30,30,170,130,1150,770,10010,770,400,13090,10,55690,SA
Oct-2014,3150,800,2350,1940,5080,1170,130,210,50,100,100,1750,750,11260,650,710,15120,60,69440,SA
Nov-2014,2670,880,1850,1940,4660,680,110,10,40,90,80,1000,500,13250,640,460,15870,70,51870,SA
Dec-2014,3290,720,1880,1540,4140,670,150,20,50,90,190,1180,580,18940,600,490,21780,60,55680,SA
Jan-2015,3090,1330,3850,2320,7490,2050,290,1120,160,300,450,4380,1490,10510,900,910,18180,20,68740,SA
Feb-2015,2920,770,2630,1360,4760,4920,350,260,100,190,600,6420,590,16350,650,1050,25060,70,55740,SA
Mar-2015,2790,1020,2560,1280,4870,2930,280,60,60,180,180,3690,770,13240,610,1180,19480,40,51500,SA
Apr-2015,3860,920,2470,1510,4900,900,160,230,140,100,250,1780,750,10110,480,610,13730,30,52340,SA
May-2015,2770,710,2420,1540,4670,370,190,40,20,70,90,790,480,7650,440,680,10040,10,48490,SA
Jun-2015,1760,930,1710,1470,4110,790,150,10,40,90,130,1220,680,6250,450,430,9030,30,43640,SA
Jul-2015,2280,750,2070,1740,4560,3060,240,890,60,160,540,4950,750,9530,390,500,16110,50,66090,SA
Aug-2015,2400,1080,2290,2010,5370,1130,170,40,110,140,400,1980,520,9170,510,310,12490,40,57920,SA
Sep-2015,2640,990,1660,2100,4750,690,90,20,30,100,140,1070,590,9030,570,650,11900,30,54440,SA
Oct-2015,3310,930,2110,1910,4960,1180,140,210,50,150,170,1910,520,10300,600,510,13830,120,66510,SA
Nov-2015,2610,740,1720,1690,4150,640,210,10,20,120,110,1100,730,11920,660,820,15230,60,50720,SA
Dec-2015,2700,810,1820,1240,3870,710,80,20,50,70,130,1060,440,19140,280,350,21270,120,56170,SA
Jan-2016,3010,1070,3830,2280,7180,1860,450,1030,70,260,370,4050,1160,9230,610,940,15980,10,67750,SA
Feb-2016,2090,1130,2490,1670,5290,6400,440,490,110,220,690,8350,560,13470,540,890,23790,70,56920,SA
Mar-2016,3540,980,2150,1510,4630,2120,210,40,80,120,60,2630,450,14070,490,740,18380,90,53450,SA
Apr-2016,3450,910,2180,1450,4540,910,150,150,60,80,240,1590,530,9470,430,590,12610,50,50910,SA
May-2016,2420,900,1990,1800,4690,480,160,230,60,70,40,1030,500,7950,300,350,10140,50,50070,SA
Jun-2016,2050,700,2150,1730,4580,930,150,10,50,80,140,1360,570,7960,260,530,10680,60,50150,SA
Jul-2016,3380,850,2490,1930,5270,3880,190,950,70,130,670,5880,670,10450,350,680,18040,40,73100,SA
Aug-2016,2150,910,2180,1750,4840,910,190,70,60,90,190,1510,580,9770,470,650,12980,20,58560,SA
Sep-2016,2760,950,1940,2480,5370,1010,170,40,30,120,170,1520,420,10930,610,910,14400,50,62520,SA
Oct-2016,3430,990,2070,2470,5520,1290,170,300,90,90,150,2080,600,11320,520,680,15200,40,69840,SA
Nov-2016,2770,810,1960,1950,4720,650,160,10,50,150,70,1090,460,12700,620,640,15500,40,52930,SA
Dec-2016,3410,840,2000,1550,4390,770,160,20,30,120,210,1310,360,20610,450,590,23310,30,62580,SA
Jan-2017,2560,1140,3860,2440,7440,1900,360,1120,40,190,240,3860,990,13230,680,1310,20070,60,73930,SA
Feb-2017,2480,1240,2810,1750,5800,7870,310,520,80,250,440,9460,520,14250,590,1230,26050,40,61320,SA
Mar-2017,3380,960,1990,1630,4570,1560,140,10,20,90,120,1940,380,15050,540,1270,19180,60,54060,SA
Apr-2017,3040,750,2060,1860,4670,1070,120,280,30,60,160,1720,500,11350,380,630,14580,70,53980,SA
May-2017,2740,970,2160,1880,5010,430,170,160,30,110,50,950,470,8110,330,930,10790,30,56400,SA
Jun-2017,1670,910,1620,1610,4150,990,170,10,50,110,120,1460,640,9130,480,730,12430,30,50540,SA
Jul-2017,3000,940,1850,2270,5060,4220,340,1140,60,170,600,6530,720,11830,270,730,20090,140,76860,SA
Aug-2017,2340,810,1880,2100,4800,1550,150,70,150,110,190,2220,580,12130,380,810,16110,40,63260,SA
Sep-2017,3330,1010,1680,2250,4940,810,140,10,100,90,90,1250,480,14550,540,900,17720,60,68030,SA
Oct-2017,3560,930,2210,2210,5350,1450,180,400,50,110,80,2270,580,13210,680,1120,17850,60,72410,SA
Nov-2017,2790,790,1940,1690,4420,780,110,10,40,60,90,1080,460,17150,610,1100,20410,80,59490,SA
Dec-2017,2890,770,1790,1440,4000,890,130,20,30,70,80,1220,470,23920,360,760,26730,20,60480,SA
Jan-2018,3540,1310,4350,2920,8590,2390,390,1810,40,230,260,5120,750,13150,630,1700,21360,60,82590,SA
Feb-2018,3050,1120,2530,1700,5360,8050,290,410,80,170,430,9430,440,18180,490,1380,29920,0,65300,SA
Mar-2018,3410,1130,2360,1720,5200,1970,190,20,60,130,50,2410,430,17290,510,1500,22150,120,59730,SA
Apr-2018,3390,1040,2590,1990,5620,1260,180,370,50,90,140,2090,490,13140,360,1350,17430,40,63180,SA
May-2018,2770,1060,2240,1920,5230,600,190,50,50,140,60,1090,500,9910,430,1230,13150,70,59690,SA
Jun-2018,2920,850,1800,1700,4350,1180,160,60,40,140,130,1700,430,9500,350,1030,13010,50,54930,SA
Jul-2018,2690,780,2270,2440,5490,4610,320,1140,60,150,410,6690,570,11830,280,870,20250,50,75040,SA
Aug-2018,2260,1010,2150,2060,5220,1680,160,30,150,80,150,2250,600,12470,300,910,16540,10,65030,SA
Sep-2018,2870,1120,1890,2130,5140,1160,190,30,60,140,110,1690,530,12440,550,1060,16270,70,66340,SA
Oct-2018,3870,770,1980,2550,5300,1450,190,360,100,110,50,2260,510,12750,480,1310,17290,50,73170,SA
Nov-2018,3400,960,1970,2040,4970,760,170,30,40,90,50,1140,400,18230,480,1130,21390,50,63850,SA
Dec-2018,2570,920,1800,1730,4460,1040,120,30,30,60,80,1360,340,24150,460,950,27250,40,64640,SA
Jan-2019,2840,1290,3540,3050,7880,2530,370,1550,70,200,300,5020,820,14260,650,1780,22520,20,80290,SA
Feb-2019,3490,1080,3100,1950,6130,8120,330,370,70,170,340,9400,440,18840,420,1750,30850,30,67880,SA
Mar-2019,3350,1060,2290,1920,5270,3670,260,80,140,90,70,4310,400,15910,380,1860,22870,10,62040,SA
Apr-2019,2990,710,2510,2200,5420,1210,230,380,60,100,140,2120,450,13420,430,1440,17860,50,59670,SA
May-2019,2730,1080,2040,2340,5460,830,190,110,70,90,30,1320,420,11690,280,1370,15080,0,62480,SA
Jun-2019,2600,900,2070,2270,5240,1180,250,50,70,120,80,1740,550,10940,410,1250,14890,110,60030,SA
Jul-2019,2490,770,2260,2510,5540,4650,340,1310,70,120,330,6810,510,12800,230,1220,21570,40,78900,SA
Aug-2019,2540,970,2330,2890,6190,2230,200,90,160,130,150,2960,500,12820,500,1190,17960,30,71750,SA
Sep-2019,3360,870,2100,2790,5750,1020,250,40,90,140,50,1600,460,16160,540,1250,20000,30,72960,SA
Oct-2019,3180,910,2120,2810,5830,1750,320,500,120,80,50,2820,420,15690,580,1580,21100,70,84040,SA
Nov-2019,2740,930,2060,2250,5230,870,230,40,180,80,40,1430,400,17010,550,1330,20710,80,64100,SA
Dec-2019,2920,800,1910,1840,4550,1140,240,50,60,80,100,1660,370,24980,450,860,28320,110,68800,SA
Jan-2020,3560,1210,3680,3050,7930,2650,520,1240,90,220,230,4940,720,15200,670,2420,23960,60,81290,SA
Feb-2020,2620,970,2640,2130,5740,5610,350,220,170,220,370,6950,370,13770,620,1870,23580,30,61960,SA
Mar-2020,1530,650,1300,1200,3150,3080,150,120,30,70,70,3520,240,6410,290,980,11440,10,38070,SA
Apr-2020,10,60,60,50,170,0,0,0,0,0,0,0,10,30,0,20,60,0,960,SA
May-2020,10,50,120,50,220,0,0,0,0,0,0,0,0,30,0,30,70,0,760,SA
Jun-2020,20,50,110,80,240,0,0,0,0,0,0,0,10,30,0,30,60,0,790,SA
Jul-2020,10,30,40,30,100,0,0,0,0,0,0,0,20,40,0,20,90,0,570,SA
Aug-2020,10,20,40,20,80,0,0,0,0,0,0,0,10,10,0,20,50,0,360,SA
Sep-2020,10,30,50,40,130,0,0,0,0,0,0,0,30,30,0,10,70,0,520,SA
Oct-2020,40,60,90,50,190,0,0,0,0,0,0,10,50,50,0,70,180,0,830,SA
Nov-2020,100,60,70,50,170,0,0,0,0,0,0,10,50,90,0,70,220,0,970,SA
Dec-2020,60,80,140,70,280,0,0,0,0,0,0,10,40,50,0,40,130,0,1020,SA
Jan-2021,70,70,140,70,280,0,0,0,0,0,0,10,60,50,0,200,330,0,1260,SA
Feb-2021,80,90,100,50,240,10,0,0,0,0,0,10,40,40,10,70,160,10,920,SA
Mar-2021,50,80,120,60,260,10,0,0,0,0,0,10,30,60,0,50,160,0,940,SA
Apr-2021,200,120,90,50,250,0,0,0,0,10,0,10,20,30,0,420,500,0,1520,SA
May-2021,610,180,150,80,410,20,0,0,0,0,0,20,50,70,0,190,330,0,2470,SA
Jun-2021,750,110,120,100,340,10,0,0,0,10,0,20,30,80,0,80,210,0,2450,SA
Jul-2021,550,80,100,80,260,10,0,10,0,10,0,20,40,60,10,30,150,0,2110,SA
Aug-2021,40,100,130,60,280,0,0,0,0,10,0,10,40,50,20,60,180,0,1010,SA
Sep-2021,10,90,130,50,260,0,0,0,0,10,0,20,40,50,10,130,250,10,960,SA
Oct-2021,10,70,100,60,230,0,20,0,0,10,0,30,50,40,10,60,190,0,810,SA
Nov-2021,40,190,140,140,470,0,50,0,0,20,0,80,80,230,10,120,510,0,1930,SA
Dec-2021,160,230,690,200,1130,880,110,30,10,60,0,1080,100,710,30,380,2300,20,5290,SA
Jan-2022,150,350,860,370,1590,1490,200,230,10,120,40,2100,200,1300,90,450,4130,10,9270,SA
Feb-2022,180,350,870,410,1620,2690,150,100,20,130,70,3160,180,2230,130,590,6300,10,12130,SA
Mar-2022,490,370,1010,460,1840,1090,230,30,70,70,20,1520,170,4430,140,810,7070,20,14960,SA
Apr-2022,1060,430,1080,680,2190,680,320,60,80,50,10,1180,230,5750,180,790,8130,20,18650,SA
May-2022,1380,580,1450,1090,3120,730,350,60,80,70,10,1300,240,5260,100,1420,8330,30,24590,SA
Jun-2022,1250,640,1250,980,2870,940,370,30,100,80,70,1600,240,5620,140,1430,9030,20,26890,SA
Jul-2022,2230,640,1440,1130,3210,2800,290,320,90,90,260,3860,300,5700,140,1160,11160,70,38420,SA
Aug-2022,1760,820,1630,1420,3870,1670,210,70,210,100,60,2330,330,6450,320,1490,10920,40,39850,SA
Sep-2022,2020,680,1400,1400,3480,850,310,20,310,110,60,1640,330,8060,450,1200,11680,20,39710,SA
Oct-2022,2660,570,1610,1450,3620,650,290,110,280,100,30,1460,210,9510,450,1300,12940,30,48850,SA
Nov-2022,2890,710,1780,1410,3900,830,310,10,290,100,20,1540,320,11650,370,1990,15870,40,45680,SA
Dec-2022,2830,610,1690,1190,3480,1270,290,30,150,70,10,1820,250,15930,270,1950,20230,50,48390,SA
Jan-2023,3210,840,2970,2240,6050,2080,590,660,140,160,140,3760,480,8170,440,3050,15900,70,61550,SA
Feb-2023,2660,840,2760,1770,5370,6750,580,300,330,210,160,8330,290,10880,530,3250,23290,30,56350,SA
Mar-2023,3530,900,2990,1750,5640,1810,470,20,270,110,70,2750,300,14890,460,3150,21570,70,58130,SA
Apr-2023,3140,700,2640,1790,5130,1010,450,120,200,110,60,1950,420,11160,340,2300,16170,60,53050,SA
May-2023,2870,900,2360,1880,5140,990,370,50,300,120,30,1860,340,9180,300,2610,14300,30,53770,SA
Jun-2023,1960,650,2010,2010,4680,1460,360,50,210,120,50,2240,330,8570,430,2020,13590,70,51790,SA
Jul-2023,2530,750,2380,2300,5430,4950,460,520,140,140,240,6460,300,9170,310,2040,18290,50,71040,SA
Aug-2023,2340,1010,2290,2180,5480,1460,380,30,210,110,30,2230,470,9330,450,1660,14140,10,63040,SA
Sep-2023,3070,930,2300,1960,5190,1100,330,30,180,120,30,1780,340,10840,590,1810,15360,140,60900,SA
Oct-2023,2940,740,2570,2670,5980,1050,400,150,160,120,30,1900,310,11280,700,2300,16480,90,73230,SA
Nov-2023,3360,760,2510,1990,5270,830,290,20,170,100,30,1450,330,13350,550,2030,17710,80,60780,SA
Dec-2023,2730,930,2990,1740,5660,1700,320,50,130,140,30,2360,240,17640,500,2160,22900,30,60340,SA
Jan-2024,3410,1150,4750,2780,8680,2790,840,1030,170,350,180,5360,610,11220,830,4030,22050,50,81710,SA
Feb-2024,2430,860,3590,2210,6670,7890,490,140,160,290,210,9170,350,14640,840,3340,28340,40,66120,SA
Mar-2024,2410,830,3330,1810,5970,1700,360,30,120,150,30,2380,300,14890,550,3320,21450,70,57530,SA
Apr-2024,3260,770,3360,2480,6610,1260,430,240,80,150,190,2370,410,10610,640,2390,16420,110,62300,SA
May-2024,2620,990,2520,2240,5750,1040,250,50,130,90,30,1590,370,8890,590,2120,13550,30,58980,SA
Jun-2024,2060,720,2540,2310,5580,1220,230,20,70,80,60,1670,490,9860,470,2150,14650,30,60040,SA
Jul-2024,2720,680,2740,2370,5790,4430,380,520,70,190,250,5840,360,8740,430,1830,17210,110,74580,SA
Jan-2014,19030,4590,13920,9810,28320,2380,1190,320,350,500,460,5210,13130,35420,5620,3310,62680,220,256440,WA
Feb-2014,12560,3360,8830,7100,19290,8240,910,440,270,460,790,11110,5350,45340,3860,2920,68580,160,179070,WA
Mar-2014,13090,2940,5960,5480,14380,1870,580,30,200,210,110,2990,5030,46940,3610,2550,61120,260,172600,WA
Apr-2014,13960,3060,7580,6230,16870,1210,660,240,280,170,360,2930,6520,38200,3160,1970,52780,360,184490,WA
May-2014,11340,2830,6850,6410,16090,620,450,10,200,180,90,1560,5590,32190,3300,1910,44540,200,156370,WA
Jun-2014,10850,2720,6130,6070,14920,1020,480,50,220,230,170,2160,5970,33050,2900,2110,46180,260,158630,WA
Jul-2014,12540,2900,6970,7670,17540,4710,1000,340,220,200,850,7320,6980,35590,3000,2210,55100,220,208820,WA
Aug-2014,12330,3130,7010,6610,16750,2600,390,80,380,360,260,4070,6200,32160,3780,2010,48210,160,179050,WA
Sep-2014,14240,2730,6500,6660,15890,820,570,30,300,200,60,1980,5740,39770,5260,2290,55030,210,192420,WA
Oct-2014,14230,3120,7180,7310,17610,1340,570,240,320,250,210,2940,6400,41610,5140,2290,58380,270,212570,WA
Nov-2014,11810,2780,5640,5930,14340,660,430,10,240,160,240,1750,5060,48930,4080,2300,62110,230,172460,WA
Dec-2014,13740,2580,5100,5160,12850,1150,590,40,270,150,290,2500,3870,65930,2830,1630,76760,120,184240,WA
Jan-2015,18200,4410,14300,10270,28980,2560,1430,270,320,500,460,5540,11180,32280,4730,2970,56700,330,247480,WA
Feb-2015,11000,2900,6640,6400,15930,7200,750,260,290,410,710,9620,4210,50590,3390,2130,69930,230,171380,WA
Mar-2015,13000,2990,5860,6230,15080,2420,660,50,400,230,130,3890,4630,49860,3840,2630,64860,140,173790,WA
Apr-2015,13390,3360,7110,7090,17560,1430,690,200,300,230,320,3170,5380,39520,3110,2350,53540,370,183000,WA
May-2015,11300,2690,6030,5750,14470,730,400,10,320,200,120,1780,4490,32980,2900,2140,44300,300,152970,WA
Jun-2015,10460,2480,5780,6240,14500,950,640,20,240,240,150,2240,4370,34730,2740,1930,46000,360,156500,WA
Jul-2015,12800,2860,7760,7920,18540,5240,1380,470,310,320,950,8680,5670,36190,2850,2540,55930,340,206510,WA
Aug-2015,12500,3260,7120,6730,17110,2060,460,60,350,250,240,3430,5180,35850,3210,2430,50100,220,179050,WA
Sep-2015,13920,2810,6180,6600,15600,990,540,30,300,200,150,2210,4770,42180,4660,2590,56410,210,185070,WA
Oct-2015,13470,2760,7000,7790,17540,1610,730,110,330,190,290,3250,4500,41280,4700,2530,56260,260,207250,WA
Nov-2015,12360,2340,5690,5650,13680,920,390,10,360,210,170,2050,3420,56030,3290,2140,66920,310,170380,WA
Dec-2015,12770,2890,4870,5410,13170,980,540,40,260,130,150,2100,3420,72560,2340,1870,82300,190,184470,WA
Jan-2016,16650,4900,14380,10680,29960,2830,1760,440,320,520,400,6270,7580,34890,4170,3150,56060,210,250790,WA
Feb-2016,11400,3680,7270,6530,17480,9290,1040,190,380,430,700,12040,3540,58880,3370,2960,80790,230,186630,WA
Mar-2016,13180,3170,5540,6380,15090,1750,750,10,390,140,70,3110,3260,58730,2960,2340,70410,320,179460,WA
Apr-2016,12540,3100,6980,6740,16830,1300,690,170,270,220,280,2930,3890,44560,2630,2420,56430,280,182030,WA
May-2016,10290,2730,6070,6430,15240,730,580,10,280,230,100,1920,3310,41400,2360,2340,51340,260,160520,WA
Jun-2016,10130,2980,5650,6170,14810,1050,740,50,300,200,250,2590,3460,41550,2460,2460,52510,210,162940,WA
Jul-2016,11920,3320,7840,8850,20010,6050,1260,360,300,400,900,9260,4430,45850,2280,2270,64090,340,224010,WA
Aug-2016,11280,2950,6810,6980,16750,2020,550,70,290,280,250,3470,3580,42700,2780,2190,54730,200,185040,WA
Sep-2016,12260,2860,5940,7020,15810,1040,860,60,390,280,210,2830,3310,53060,3950,2500,65650,380,197330,WA
Oct-2016,13100,2850,7260,8970,19080,1460,760,90,240,170,180,2900,3500,52550,3530,2860,65340,240,217050,WA
Nov-2016,10640,2770,5310,6200,14280,880,670,10,320,160,150,2200,2730,62020,2980,2700,72630,180,180150,WA
Dec-2016,12400,2420,4490,5640,12550,1130,720,60,200,130,230,2480,2590,82000,2310,2330,91700,270,199690,WA
Jan-2017,16660,4300,12910,11420,28640,2320,1810,440,340,450,350,5710,5670,44140,3120,3270,61900,230,253030,WA
